Order	Line	Ordered Item	Qty	Status	UOM	Unit Selling Price	Price List	Line Type	Qty Cancelled	Qty Fulfilled	List Price	Extended Price	Request Date	Warehouse	Ship To Location	Secondary Shipping Qty
437837	21.1	#N/A	2	Closed	EA	17.8	Hurst Price List	Sundry Line	0	2	17.8	35.6	8/2/2019 0:00	DC1	1118	1120
437837	22.1	024004P2	3	Closed	EA	50.35	Hurst Price List	Paint Line	0	3	50.35	151.05	8/2/2019 0:00	DC1	1118	1120
437837	23.1	#N/A	6	Closed	EA	7.19	Hurst Price List	Sundry Line	0	6	7.19	43.14	8/2/2019 0:00	DC1	1118	1120
437837	24.1	#N/A	6	Closed	EA	8.38	Hurst Price List	Sundry Line	0	6	8.38	50.28	8/2/2019 0:00	DC1	1118	1120
437837	25.1	024408P10	9	Closed	EA	3.4	Hurst Price List	Paint Line	0	9	3.4	30.6	8/2/2019 0:00	DC1	1118	1120
437837	26.1	024401P8	8	Closed	EA	15.11	Hurst Price List	Paint Line	0	8	15.11	120.88	8/2/2019 0:00	DC1	1118	1120
437837	27.1	023807P10	4	Closed	EA	13.61	Hurst Price List	Paint Line	0	4	13.61	54.44	8/2/2019 0:00	DC1	1118	1120
437837	28.1	024006P2	12	Closed	EA	14.19	Hurst Price List	Paint Line	0	12	14.19	170.28	8/2/2019 0:00	DC1	1118	1120
437837	29.1	024001P0	4	Closed	EA	11.4	Hurst Price List	Paint Line	0	4	11.4	45.6	8/2/2019 0:00	DC1	1118	1120
437837	30.1	023609P2	8	Closed	EA	15.42	Hurst Price List	Paint Line	0	8	15.42	123.36	8/2/2019 0:00	DC1	1118	1120
437837	31.1	023609P6	4	Closed	EA	15.45	Hurst Price List	Paint Line	0	4	15.45	61.8	8/2/2019 0:00	DC1	1118	1120
437837	32.1	023810P2	4	Closed	EA	14.79	Hurst Price List	Paint Line	0	4	14.79	59.16	8/2/2019 0:00	DC1	1118	1120
437837	33.1	024001P2	4	Closed	EA	51.25	Hurst Price List	Paint Line	0	4	51.25	205	8/2/2019 0:00	DC1	1118	1120
437837	34.1	024602P10	4	Closed	EA	13.89	Hurst Price List	Paint Line	0	4	13.89	55.56	8/2/2019 0:00	DC1	1118	1120
437837	35.1	023406P10	8	Closed	EA	12.86	Hurst Price List	Paint Line	0	8	12.86	102.88	8/2/2019 0:00	DC1	1118	1120
437837	36.1	023401P4	8	Closed	EA	10.5	Hurst Price List	Paint Line	0	8	10.5	84	8/2/2019 0:00	DC1	1118	1120
437837	37.1	024001P4	8	Closed	EA	11.37	Hurst Price List	Paint Line	0	8	11.37	90.96	8/2/2019 0:00	DC1	1118	1120
437837	38.1	024003P0	8	Closed	EA	10.01	Hurst Price List	Paint Line	0	8	10.01	80.08	8/2/2019 0:00	DC1	1118	1120
437837	39.1	023808P6	8	Closed	EA	13.19	Hurst Price List	Paint Line	0	8	13.19	105.52	8/2/2019 0:00	DC1	1118	1120
437837	40.1	023807P4	4	Closed	EA	11.28	Hurst Price List	Paint Line	0	4	11.28	45.12	8/2/2019 0:00	DC1	1118	1120
437837	41.1	#N/A	4	Closed	EA	16.45	Hurst Price List	Sundry Line	0	4	16.45	65.8	8/2/2019 0:00	DC1	1118	1120
